Date,Open,High,Low,Close,Volume,OpenInt
12/10/2014,101.48,101.74,99.88,100.07,40558702,0
12/11/2014,100.37,101.75,100.35,100.55,49002487,0
12/12/2014,99.58,100.73,99.442,99.452,48405823,0
12/15/2014,99.96,100.34,98.138,98.417,54661892,0
12/16/2014,97.827,99.251,96.826,96.845,67400097,0
12/17/2014,96.912,98.886,96.787,98.595,82292195,0
12/18/2014,100.02,100.99,99.74,100.98,51444438,0
12/19/2014,101.09,101.84,100.84,101.42,52884301,0
12/22/2014,101.26,101.71,101.21,101.68,34828587,0
12/23/2014,102.06,102.07,101.2,101.32,31013562,0
12/24/2014,101.44,101.8,101.37,101.4,14699271,0
12/26/2014,101.7,102.35,101.67,102.13,14321732,0
12/29/2014,102.04,102.34,101.98,102.11,17548106,0
12/30/2014,101.82,102.06,101.29,101.42,19131532,0
12/31/2014,101.6,102.01,100.24,100.39,25062150,0
1/2/2015,100.88,101.31,99.59,100.08,32204957,0
1/5/2015,99.64,99.75,98.337,98.603,37552431,0
1/6/2015,98.752,98.926,96.855,97.291,68068998,0
1/7/2015,97.943,98.772,97.705,98.546,38644967,0
1/8/2015,99.382,100.63,99.271,100.44,41347019,0
1/9/2015,100.75,100.78,99.181,99.76,42585076,0
1/12/2015,99.96,100.07,98.477,98.723,35094081,0
1/13/2015,99.69,100.75,97.913,98.693,57748172,0
1/14/2015,97.715,98.653,97.291,98.157,52749528,0
1/15/2015,98.536,98.762,96.77,96.883,52359482,0
1/16/2015,96.76,98.147,96.602,98.018,36362163,0
1/20/2015,98.603,99.052,97.508,98.792,28703899,0
1/21/2015,98.507,99.76,98.157,99.302,35489702,0
1/22/2015,99.69,101.25,98.816,101.15,35498033,0
1/23/2015,101.14,101.68,100.84,101.36,33166344,0
1/26/2015,101.25,101.43,100.74,101.25,20508347,0
1/27/2015,99.65,99.71,98.297,98.613,46500840,0
1/28/2015,100.21,100.32,98.098,98.118,44001819,0
1/29/2015,98.038,99.241,97.184,99.061,47824911,0
1/30/2015,98.975,99.73,98.157,98.297,44151999,0
2/2/2015,98.516,99.231,96.98,99.141,44853975,0
2/3/2015,99.51,100.17,98.856,100.1,31624228,0
2/4/2015,99.69,100.68,99.472,100.01,35030815,0
2/5/2015,100.27,100.95,100.01,100.88,24270943,0
2/6/2015,101.04,101.28,99.9,100.27,35144222,0
2/9/2015,99.87,100.43,99.7,99.94,23244901,0
2/10/2015,100.51,101.64,100.35,101.5,24358337,0
2/11/2015,101.62,102.11,101.42,101.88,20830684,0
2/12/2015,102.52,103.09,102.39,103.05,23156867,0
2/13/2015,103.35,103.97,103.15,103.95,29855844,0
2/17/2015,103.95,104.11,103.69,104.04,18176546,0
2/18/2015,103.92,104.25,103.79,104.19,15562640,0
2/19/2015,104.12,104.76,104.09,104.69,20386176,0
2/20/2015,104.63,105.46,104.3,105.4,29143920,0
2/23/2015,105.34,105.54,105.1,105.51,18369926,0
2/24/2015,105.37,105.72,105.04,105.59,20295107,0
2/25/2015,105.43,105.83,105.08,105.32,20025277,0
